Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1975,,,,,6.1,9.7,9.9,11.2,12.9
1976,,,,,4.6,6.1,13.2,19.3,23.6
1977,,,,,11.7,12.5,14.0,14.5,16.5
1978,,,,,6.9,7.8,12.4,16.3,16.3
1979,,,,,12.4,12.5,15.9,16.2,16.2
1980,,,,,5.9,8.5,15.0,15.6,24.8
1981,,,,,7.8,7.8,14.3,17.8,21.2
1982,,,,,2.1,3.2,5.3,5.6,6.6
1983,,,,,3.3,6.3,11.7,12.6,14.4
1984,,,,,,,,,
1985,,,,,8.5,9.9,13.9,14.0,14.0
1986,,,,,4.7,6.5,12.7,14.0,24.5
1987,,,,,3.3,6.0,13.0,17.2,17.8
1988,,,,,5.8,10.2,11.2,14.3,19.9
1989,,,,,11.3,13.0,13.6,18.8,23.5
1990,,,,,13.9,15.7,17.3,17.3,22.7
